,0
Toxic,0.0128
Crazy In Love,0.019
It Wasn't Me,0.0221
Yeah!,0.0244
Say My Name,0.0268
Hey Ya! - Radio Mix / Club Mix,0.0212
Promiscuous,0.0166
Where Is The Love?,0.0102
Stacy's Mom,0.0129
Whatcha Say,0.0118
Miss Independent,0.0121
Party In The U.S.A.,0.0217
Replay,0.0151
Forever,0.0337
Closer,0.0761
Paper Planes,0.0139
Mr. Brightside,0.025
All The Small Things,0.0165
Dirty Little Secret,0.0105
A Thousand Miles,0.01
See You Again,0.0105
Home,0.0489
ABC,0.011
Billie Jean,0.0199
Seven Nation Army,0.0177
1985,0.0109
Snow (Hey Oh) - Hey Oh Album Version,0.0123
Ignition - Remix,0.0319
Hypnotize - 2014 Remastered Version,0.0139
Big Poppa,0.0112
Juicy,0.0108
The Next Episode,0.0138
Jessie's Girl,0.0184
Don't Stop Believin',0.0271
Bohemian Rhapsody - Remastered 2011,0.0243
Sweet Emotion,0.0109
Free Bird,0.0102
More Than a Feeling,0.0158
No Role Modelz,0.0312
Changes,0.0118
Stronger,0.0263
You & Me - Flume Remix,0.0135
Sympathy For The Devil,0.0104
No Type,0.0179
Man Of The Year,0.0115
Doses & Mimosas,0.0122
Work REMIX,0.0141
Do It Again,0.0117
Lean On (feat. MØ & DJ Snake),0.0276
Circles,0.011
Summertime,0.017
I Will Follow You Into The Dark,0.0108
Trouble,0.0219
All I Want,0.0234
Do I Wanna Know?,0.0165
Youth,0.0118
Georgia,0.0117
Chasing Cars,0.0186
Riptide,0.0339
How to Save a Life,0.0169
Weak,0.0175
Runaway,0.0183
Intro,0.023
Mercy,0.0318
Dreams,0.0108
Into You,0.0112
I Fall Apart,0.0128
What They Want,0.0182
Losin Control,0.0137
Issues,0.0172
Gravity,0.0211
Jocelyn Flores,0.0104
First,0.0146
One Dance,0.0433
Sober,0.025
You Don't Own Me,0.0104
No One,0.0101
Goodbye,0.0106
Scars To Your Beautiful,0.0106
All Time Low,0.0192
For What It's Worth,0.0107
Black,0.0107
Same Drugs,0.0143
Your Love,0.0155
Your Song,0.0167
This Town,0.0128
Wonderwall - Remastered,0.0184
Otherside,0.0105
Old Thing Back (feat. Ja Rule and Ralph Tresvant),0.0103
Springsteen,0.0166
Santeria,0.0175
Brown Eyed Girl,0.0195
Heaven,0.015
Malibu,0.0133
Redbone,0.0285
Slow Hands,0.0137
Blue Ain't Your Color,0.0117
Island In The Sun,0.0157
Body Like A Back Road,0.0273
Follow Me,0.0104
My Girl,0.0295
I Want You Back,0.0194
Starving,0.0183
All The Time,0.012
Smile,0.0181
Eye of the Tiger,0.0158
Stairway To Heaven,0.0129
Shine,0.0127
Crazy,0.0213
Carry on Wayward Son,0.0131
Sweet Home Alabama,0.0215
Sweet Child O' Mine,0.0213
Fortunate Son,0.0149
Despacito - Remix,0.0288
I'm the One,0.0321
Attention,0.0156
Hello,0.0305
Jungle,0.0225
Gone,0.0153
'Till I Collapse,0.0172
Wild for the Night,0.0144
Rap God,0.0137
Kryptonite,0.0117
Enter Sandman,0.01
Last Resort,0.01
Ghost,0.0168
Trumpets,0.013
Uptown Funk,0.0233
Young Blood,0.0135
Higher,0.0158
V. 3005,0.0222
You Know You Like It,0.0125
Like I'm Gonna Lose You,0.0111
Where Are Ü Now (with Justin Bieber),0.0201
"See You Again (feat. Charlie Puth) - From ""Furious 7""",0.0152
Lost,0.0132
"Happy - From ""Despicable Me 2""",0.0147
Counting Stars,0.0175
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",0.0209
Angels,0.0102
Wicked Games,0.0119
I Like Me Better,0.0102
Love,0.0125
Hold On,0.0235
Angel,0.0225
Can't Stop,0.0101
California,0.0154
Low Life,0.0241
Waves,0.0248
White Iverson,0.0306
Jumpman,0.029
Really Really,0.0134
Father Stretch My Hands Pt. 1,0.0165
Champions,0.0115
Ni**as In Paris,0.0284
Black Beatles,0.0296
X (feat. Future),0.0205
No Heart,0.0149
Too Many Years,0.0106
No Flockin,0.0144
Paris,0.0267
Water,0.0176
Worth It,0.0107
Bounce Back,0.03
Swimming Pools (Drank),0.0174
THat Part,0.0111
Money Trees,0.0122
Day 'N' Nite (nightmare),0.0138
My Way,0.0157
goosebumps,0.0308
F**kin' Problems,0.0229
"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",0.0152
Deja Vu,0.0262
Congratulations,0.041
XO TOUR Llif3,0.033
One Night,0.0174
Right Now,0.0104
Magnolia,0.02
Unforgettable,0.0331
Bank Account,0.0231
LOVE. FEAT. ZACARI.,0.0181
4 AM,0.0127
Hot N*gga,0.0124
F*ck Up Some Commas,0.0137
Stay (with Alessia Cara),0.0218
Something Just Like This,0.0222
Believer,0.0254
Strip That Down,0.0152
Let It Go,0.0281
Hold Back The River,0.0111
Mess Is Mine,0.013
I See Fire,0.0112
Wild Things,0.0112
Die A Happy Man,0.021
In Case You Didn't Know,0.0117
Hallelujah,0.0283
Blessings,0.0284
Gooey,0.0125
Skinny Love,0.0273
I Miss You,0.017
Love On The Brain,0.0128
Final Song,0.0121
Sunday Candy,0.0148
Closing Time,0.0109
Lush Life,0.0109
Too Good,0.0204
Legend,0.0143
Energy,0.0169
Know Yourself,0.0127
"Young, Wild & Free (feat. Bruno Mars) - feat. Bruno Mars",0.0175
Caroline,0.0395
Wasted,0.0173
In the Name of Love,0.0174
Famous,0.0212
Fake Love,0.0307
Bad Things (with Camila Cabello),0.0135
Wet Dreamz,0.0193
You & Me,0.0178
Castle on the Hill,0.0128
Shape of You,0.0321
Perfect,0.0211
Galway Girl,0.0101
That's What I Like,0.0264
I Got You,0.0112
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0.0157
All Night (feat. Knox Fortune),0.0166
Say You Won't Let Go,0.0207
Treat You Better,0.0142
Beautiful Girls,0.0154
Bye Bye Bye,0.0101
Chicken Fried,0.0218
Come On Eileen,0.0207
Dancing Queen,0.0105
Demons,0.0195
Dynamite,0.0116
Everybody Talks,0.0107
Fergalicious,0.014
I Gotta Feeling,0.0133
I Write Sins Not Tragedies,0.0138
I'm Gonna Be (500 Miles),0.0121
In My Head,0.0109
It's Time,0.0112
Livin' On A Prayer,0.017
Love On Top,0.0128
No Scrubs,0.0142
On Top Of The World,0.0111
Radioactive,0.0246
Sweet Caroline,0.0172
We Are Young (feat. Janelle Monáe) - feat. Janelle Monae,0.0125
Signs,0.0101
Never Be Like You,0.0232
Say It,0.0286
What You Know,0.0147
Falling,0.0109
Alright,0.0281
King Kunta,0.0139
m.A.A.d city,0.0174
Bonfire,0.0176
Sex,0.0122
Monster,0.0232
Thinkin Bout You,0.019
Planez,0.0164
Ride Wit Me,0.0131
BedRock,0.012
This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,0.0116
Breezeblocks,0.0165
Midnight City,0.0168
Capsize,0.015
All Night,0.0158
Starboy,0.0285
Semi-Charmed Life,0.0124
pick up the phone,0.0199
Everyday,0.0194
Don't Wanna Know (feat. Kendrick Lamar),0.0136
Sneakin’,0.0127
Moves,0.0139
I Feel It Coming,0.0157
T-Shirt,0.0355
Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix,0.0102
Wildfire,0.011
Selfish,0.0271
Green Light,0.0106
Electric Love,0.0182
Reflections,0.0113
It Ain't Me (with Selena Gomez),0.0164
Slide,0.0323
Hurt,0.0108
Alone,0.0215
Can't Help Falling in Love,0.0163
September,0.0261
Hooked on a Feeling,0.0125
Ain't No Mountain High Enough,0.0233
Spirit In The Sky,0.0117
Kids,0.02
