Toxic,0.0134
Crazy In Love,0.0192
It Wasn't Me,0.0232
Yeah!,0.0254
My Boo,0.0104
Say My Name,0.0302
Hey Ya! - Radio Mix / Club Mix,0.0232
Promiscuous,0.016
Beautiful Soul,0.01
Where Is The Love?,0.0108
Stacy's Mom,0.0126
Whatcha Say,0.012
Miss Independent,0.013
Party In The U.S.A.,0.0198
Replay,0.017
Forever,0.0346
Closer,0.0778
Paper Planes,0.0166
Mr. Brightside,0.0272
All The Small Things,0.018
Dirty Little Secret,0.0104
Baby,0.01
A Thousand Miles,0.0102
Home,0.044
ABC,0.0104
Billie Jean,0.0208
Seven Nation Army,0.018
1985,0.0104
Snow (Hey Oh) - Hey Oh Album Version,0.01
Ignition - Remix,0.0354
Hypnotize - 2014 Remastered Version,0.013
Big Poppa,0.012
Juicy,0.01
The Next Episode,0.0134
Jessie's Girl,0.017
Don't Stop Believin',0.026
Bohemian Rhapsody - Remastered 2011,0.0214
Sweet Emotion,0.0104
Free Bird,0.0102
More Than a Feeling,0.0156
Good Vibrations,0.01
No Role Modelz,0.0336
Changes,0.013
Stronger,0.0284
You & Me - Flume Remix,0.0136
Sympathy For The Devil,0.011
No Type,0.0192
Sun Models,0.0102
Man Of The Year,0.0114
Doses & Mimosas,0.0124
Work REMIX,0.0146
Do It Again,0.013
Lean On (feat. MØ & DJ Snake),0.0282
Circles,0.0106
Summertime,0.0174
I Will Follow You Into The Dark,0.011
Trouble,0.0236
All I Want,0.0232
Do I Wanna Know?,0.016
Youth,0.011
Georgia,0.0106
Chasing Cars,0.0188
Riptide,0.0372
How to Save a Life,0.0168
Weak,0.0168
Runaway,0.0196
Intro,0.0234
Mercy,0.031
Dreams,0.011
Into You,0.0112
I Fall Apart,0.0122
What They Want,0.0156
Losin Control,0.0126
Issues,0.0164
Gravity,0.0228
Jocelyn Flores,0.0106
First,0.0152
One Dance,0.0446
Sober,0.026
No One,0.012
Scars To Your Beautiful,0.012
All Time Low,0.0192
For What It's Worth,0.011
Black,0.0104
Same Drugs,0.0164
Your Love,0.0142
Your Song,0.0168
This Town,0.015
Wonderwall - Remastered,0.0192
Scar Tissue,0.0104
Otherside,0.0102
Old Thing Back (feat. Ja Rule and Ralph Tresvant),0.0106
Springsteen,0.0176
Santeria,0.0214
Upside Down,0.01
Brown Eyed Girl,0.0182
Heaven,0.0174
Malibu,0.0146
Redbone,0.0306
Slow Hands,0.014
Blue Ain't Your Color,0.012
Island In The Sun,0.0162
Body Like A Back Road,0.0274
My Girl,0.0304
I Want You Back,0.0198
Starving,0.0196
All The Time,0.012
Smile,0.0188
Eye of the Tiger,0.0162
Stairway To Heaven,0.0134
Shine,0.0122
Crazy,0.023
Carry on Wayward Son,0.0108
Sweet Home Alabama,0.0212
Sweet Child O' Mine,0.0192
Fortunate Son,0.0122
Despacito - Remix,0.0306
I'm the One,0.032
Attention,0.0124
Hello,0.0296
Jungle,0.0204
Gone,0.0142
'Till I Collapse,0.0184
Wild for the Night,0.0136
Rap God,0.0136
Kryptonite,0.0118
Last Resort,0.011
Ghost,0.0162
Trumpets,0.0158
Uptown Funk,0.0232
Young Blood,0.0138
Higher,0.017
V. 3005,0.0216
You Know You Like It,0.0132
Like I'm Gonna Lose You,0.0128
Where Are Ü Now (with Justin Bieber),0.021
"See You Again (feat. Charlie Puth) - From ""Furious 7""",0.0156
Lost,0.013
"Happy - From ""Despicable Me 2""",0.0144
Firework,0.0102
Counting Stars,0.0178
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",0.0224
Drop the Game,0.0108
Wicked Games,0.0136
I Like Me Better,0.0112
Love,0.0132
Hold On,0.0256
Angel,0.0228
Can't Stop,0.0108
California,0.0122
Low Life,0.0248
Waves,0.0272
