,Antecedente,Consecuente,Support,Confidence,Lift
6,DNA.,HUMBLE.,0.019,0.8189655172413793,17.424798239178283
7,Bounce Back,Bad and Boujee (feat. Lil Uzi Vert),0.0169,0.5633333333333334,15.958451369216244
8,Mask Off,XO TOUR Llif3,0.0163,0.5158227848101264,15.63099347909474
2,Mask Off,HUMBLE.,0.0204,0.6455696202531646,13.735523835173714
10,XO TOUR Llif3,Congratulations,0.0179,0.5424242424242424,13.229859571322985
0,XO TOUR Llif3,HUMBLE.,0.0204,0.6181818181818182,13.152804642166345
1,Mask Off,Congratulations,0.0162,0.5126582278481012,12.503859215807346
5,goosebumps,Congratulations,0.0155,0.5032467532467533,12.27431105479886
9,goosebumps,HUMBLE.,0.0167,0.5422077922077921,11.53633600442111
3,Congratulations,HUMBLE.,0.0214,0.521951219512195,11.10534509600415
4,Bounce Back,HUMBLE.,0.0156,0.52,11.063829787234043
